Category,Line Item,Estimated Cost,Vendor Quote,Deposit Paid,Balance Due,Due Date,Status,Notes
Venue,Ceremony site fee,,,,,,Not booked,
Venue,Reception site fee,,,,,,Not booked,
Catering,Per-person cost x guest count,,,,,,Not booked,
Catering,Bar service,,,,,,Not booked,
Photography,Main package,,,,,,Not booked,
Photography,Second shooter,,,,,,Optional,
Videography,Main package,,,,,,Optional,
Florals,Ceremony arrangements,,,,,,Not booked,
Florals,Reception centerpieces,,,,,,Not booked,
Florals,Bouquets and boutonnieres,,,,,,Not booked,
Music,Ceremony,,,,,,Not booked,
Music,Reception DJ/band,,,,,,Not booked,
Attire,Primary outfit,,,,,,Not booked,
Attire,Alterations,,,,,,Not booked,
Stationery,Invitations,,,,,,Not booked,
Stationery,Day-of signage,,,,,,Not booked,
Rentals,Tables and chairs,,,,,,Not booked,
Rentals,Linens,,,,,,Not booked,
Rentals,Tent (if applicable),,,,,,Optional,
Cake/Desserts,Main cake or dessert table,,,,,,Not booked,
Hair and Makeup,Trial,,,,,,Optional,
Hair and Makeup,Day-of,,,,,,Not booked,
Transportation,Guest shuttle,,,,,,Optional,
Transportation,Couple/VIP transport,,,,,,Optional,
Favors and Gifts,Guest favors,,,,,,Optional,
Favors and Gifts,Wedding party gifts,,,,,,Optional,
Planning Fee,Planner service fee,,,,,,Booked,
Contingency,10% buffer of total budget,,,,,,Reserved,
